"DiseaseID","GeneID","Phenotype"
"Dia1_0038","GE_0038","{Multiplesclerosis,susceptibilityto,1}"
"Dia1_0039","GE_0039","{Hypersensitivitysyndrome,carbamazepine-induced,susceptibilityto}"
"Dia1_0040","GE_0040","Rhabdomyosarcoma,alveolar"
"Dia1_0041","GE_0041","{Graft-versus-hostdisease,protectionagainst}"
"Dia1_0042","GE_0042","Charcot-Marie-Toothdisease,demyelinating,type1J"
"Dia1_0043","GE_0043","{Epilepsy,idiopathicgeneralized,susceptibilityto,1}"
"Dia1_0044","GE_0044","{Gravesdisease,susceptibilityto,1}"
"Dia1_0045","GE_0045","Hashimotothyroiditis"
"Dia1_0046","GE_0046","ImmunoglobulinAdeficiency"
"Dia1_0047","GE_0047","Agammaglobulinemia10,autosomaldominant"
"Dia1_0048","GE_0048","Diabetes,permanentneonatal2,withorwithoutneurologicfeatures"
"Dia1_0049","GE_0049","Intellectualdevelopmentaldisorderwithpoorgrowthandwithorwithoutseizuresorataxia"
"Dia1_0050","GE_0050","?Immunodeficiency,commonvariable,14"
"Dia1_0051","GE_0051","Immunedysregulationwithautoimmunity,immunodeficiency,andlymphoproliferation"
"Dia1_0052","GE_0052","Autoimmunedisease,multisystem,infantile-onset,1"
"Dia1_0053","GE_0053","Episodicpainsyndrome,familial,2"
"Dia1_0054","GE_0054","Hypocalcemia,autosomaldominant2"
"Dia1_0055","GE_0055","Acrodysostosis2,withorwithouthormoneresistance"
"Dia1_0056","GE_0056","Diarrhea4,malabsorptive,congenital"
"Dia1_0057","GE_0057","Autoimmunedisease,multisystem,withfacialdysmorphism"
"Dia1_0058","GE_0058","Maturity-onsetdiabetesoftheyoung,type10"
"Dia1_0059","GE_0059","{Microvascularcomplicationsofdiabetes6}"
"Dia1_0060","GE_0060","{Microvascularcomplicationsofdiabetes3}"
"Dia1_0061","GE_0061","{Celiacdisease,susceptibilityto,3}"
"Dia1_0062","GE_0062","Diabetesmellitus,permanentneonatal1"
"Dia1_0063","GE_0063","C2deficiency"
"Dia1_0064","GE_0064","{Celiacdisease,susceptibilityto}"
"Dia1_0065","GE_0065","Immunodysregulation,polyendocrinopathy,andenteropathy,X-linked"
"Dia1_0066","GE_0066","?Narcolepsy1"
"Dia1_0067","GE_0067","[HighdensitylipoproteincholesterollevelQTL10]"
"Dia1_0068","GE_0068","{Type2diabetesmellitus,susceptibilityto}"
"Dia1_0069","GE_0069","[Bloodgroup,Kidd]"
"Dia1_0070","GE_0070","NULL"
"Dia1_0071","GE_0071","Hypercholesterolemia,familial,1"
"Dia1_0072","GE_0072","Dysprothrombinemia"
"Dia1_0073","GE_0073","?Immunodeficiency22"
"Dia1_0074","GE_0074","NULL"
"Dia1_0075","GE_0075","NULL"
"Dia1_0076","GE_0076","{Crohndisease-associatedgrowthfailure}"
"Dia1_0077","GE_0077","NULL"
"Dia1_0078","GE_0078","NULL"
"Dia1_0079","GE_0079","{Microvascularcomplicationsofdiabetes6}"
"Dia1_0080","GE_0080","NULL"
"Dia1_0081","GE_0081","Diabetesmellitus,permanentneonatal4"
"Dia1_0082","GE_0082","Immunodeficiency,commonvariable,8,withautoimmunity"
"Dia1_0083","GE_0083","{Microvascularcomplicationsofdiabetes5}"
"Dia1_0084","GE_0084","{Crohndisease-associatedgrowthfailure}"
"Dia1_0085","GE_0085","{Diabetesmellitus,insulin-dependent,22}"
"Dia1_0086","GE_0086","Autoimmunepolyendocrinopathysyndrome,typeI,withorwithoutreversiblemetaphysealdysplasia"
"Dia1_0087","GE_0087","Aicardi-Goutieressyndrome7"
"Dia1_0088","GE_0088","NULL"
"Dia1_0089","GE_0089","NULL"
"Dia1_0090","GE_0090","{Celiacdisease,susceptibilityto}"
"Dia1_0091","GE_0091","NULL"
"Dia1_0092","GE_0092","Immunodeficiency29,mycobacteriosis"
"Dia1_0093","GE_0093","?Diamond-Blackfananemia-like"
"Dia1_0094","GE_0094","{Celiacdisease,susceptibilityto,12}"
"Dia1_0095","GE_0095","{Autoimmunedisease,susceptibilityto,5}"
"Dia1_0096","GE_0096","Holoprosencephaly12,withorwithoutpancreaticagenesis"
"Dia1_0097","GE_0097","Immunodeficiency31C,chronicmucocutaneouscandidiasis,autosomaldominant"
"Dia1_0098","GE_0098","{Microvascularcomplicationsofdiabetes2}"
"Dia1_0099","GE_0099","?Immunodeficiency39"
"Dia1_0101","GE_0101","{Buruliulcer,susceptibilityto}"
"Dia1_0102","GE_0102","Autoimmunepolyendocrinopathysyndrome,typeI,withorwithoutreversiblemetaphysealdysplasia"
"Dia1_0103","GE_0103","NULL"
"Dia1_0104","GE_0104","NULL"
"Dia1_0105","GE_0105","Immunodeficiency68"
"Dia1_0106","GE_0106","{Celiacdisease,susceptibilityto}"
"Dia1_0107","GE_0107","{Celiacdisease,susceptibilityto,13}"
"Dia1_0108","GE_0108","NULL"
"Dia1_0109","GE_0109","{Diabetesmellitus,noninsulin-dependent,susceptibilityto}"
"Dia1_0110","GE_0110","?Lethalcongenitalcontracturalsyndrome2"
"Dia1_0111","GE_0111","GlycogenstoragediseaseIXc"
"Dia1_0112","GE_0112","{Diabetesmellitus,ketosis-prone,susceptibilityto}"
"Dia1_0113","GE_0113","{Diabetes,type1,susceptibilityto}"
"Dia1_0114","GE_0114","{Asthma,susceptibilityto}"
"Dia1_0115","GE_0115","Diabetesmellitus,insulin-dependent,20"
"Dia1_0116","GE_0116","NULL"
"Dia1_0117","GE_0117","Immunedysregulationwithautoimmunity,immunodeficiency,andlymphoproliferation"
"Dia1_0118","GE_0118","{Microvascularcomplicationsofdiabetes1}"
"Dia1_0119","GE_0119","Immunodeficiency41withlymphoproliferationandautoimmunity"
"Dia1_0120","GE_0120","{Diabetesmellitus,insulin-dependent,5}"
"Dia1_0121","GE_0121","Diabetesmellitus,insulin-dependent,2"
"Dia1_0122","GE_0122","{Diabetesmellitus,insulin-dependent,13}"
"Dia1_0123","GE_0123","{Diabetesmellitus,insulin-dependent,24}"
"Dia1_0124","GE_0124","{Diabetesmellitus,insulin-dependent,23}"
"Dia1_0125","GE_0125","{Diabetesmellitus,insulin-dependent,21}"
"Dia1_0126","GE_0126","{Diabetesmellitus,insulin-dependent,18}"
"Dia1_0127","GE_0127","{Diabetesmellitus,insulin-dependent,17}"
"Dia1_0128","GE_0128","{Diabetesmellitus,insulin-dependent,6}"
"Dia1_0129","GE_0129","{Diabetesmellitus,insulin-dependent,15}"
"Dia1_0130","GE_0130","{Diabetesmellitus,insulin-dependent,X-linked}"
"Dia1_0131","GE_0131","{Diabetesmellitus,insulin-dependent,12}"
"Dia1_0132","GE_0132","{Diabetesmellitus,insulin-dependent,5}"
"Dia1_0133","GE_0133","{Diabetesmellitus,insulin-dependent,22}"
"Dia1_0134","GE_0134","Diabetesmellitus,insulin-dependent,20"
"Dia1_0135","GE_0135","{Diabetes,mellitus,insulin-dependent,susceptibilityto,10}"
"Dia1_0136","GE_0136","Diabetesmellitus,insulin-dependent,2"
"Dia1_0137","GE_0137","{Diabetesmellitus,insulin-dependent-1}"
"Dia1_0138","GE_0138","NULL"
"Dia2_0001","GE_0139","{Diabetesmellitus,noninsulin-dependent1}"
"Dia2_0002","GE_0140","{Type2diabetesmellitus,susceptibilityto}"
"Dia2_0003","GE_0141","NULL"
"Dia2_0004","GE_0142","[BirthweightQTL4]"
"Dia2_0005","GE_0143","[BirthweightQTL3]"
"Dia2_0006","GE_0144","[BirthweightQTL1]"
"Dia2_0007","GE_0145","[FastingplasmaglucoselevelQTL4]"
"Dia2_0008","GE_0146","{StatureQTL13}"
"Dia2_0009","GE_0147","{StatureQTL12}"
"Dia2_0010","GE_0148","{StatureQTL11}"
"Dia2_0011","GE_0149","{StatureQTL10}"
"Dia2_0012","GE_0150","{Prostatecancer,hereditary,11}"
"Dia2_0013","GE_0151","{Coronaryheartdisease,susceptibilityto,8}"
"Dia2_0014","GE_0152","{StatureQTL5}"
"Dia2_0015","GE_0153","{Coronaryheartdisease,susceptibilityto,5}"
"Dia2_0016","GE_0154","Abdominalobesity-metabolicsyndrome1"
"Dia2_0017","GE_0155","{Adiponectin,serumlevelof,QTL3}"
"Dia2_0018","GE_0156","{Adiponectin,serumlevelof,QTL2}"
"Dia2_0019","GE_0157","Hyperlipidemia,combined,2"
"Dia2_0020","GE_0158","Microcephaly,developmentaldelay,andbrittlehairsyndrome"
"Dia2_0021","GE_0159","Peripheralneuropathy,autosomalrecessive,withorwithoutimpairedintellectualdevelopment"
"Dia2_0022","GE_0160","Templesyndrome"
"Dia2_0023","GE_0161","Precociouspuberty,central,2"
"Dia2_0024","GE_0162","Shortstature,onychodysplasia,facialdysmorphism,andhypotrichosis"
"Dia2_0025","GE_0163","{Hemorrhage,intracerebral,susceptibilityto}"
"Dia2_0026","GE_0164","Wolfram-likesyndrome,autosomaldominant"
"Dia2_0027","GE_0165","Lipodystrophy,familialpartial,type4"
"Dia2_0028","GE_0166","{Glomerulosclerosis,focalsegmental,4,susceptibilityto}"
"Dia2_0029","GE_0167","?Lipodystrophy,congenitalgeneralized,type3"
"Dia2_0030","GE_0168","{Obesity,susceptibilityto,BMIQ14}"
"Dia2_0031","GE_0169","Multipleendocrineneoplasia,typeIV"
"Dia2_0032","GE_0170","Diabetesmellitus,transientneonatal3"
"Dia2_0033","GE_0171","{Rheumatoidarthritis,susceptibilityto}"
"Dia2_0034","GE_0172","?Precociouspuberty,central,1"
"Dia2_0035","GE_0173","Periodontitis1,juvenile"
"Dia2_0036","GE_0174","{Coronaryarterydisease,autosomaldominant,2}"
"Dia2_0037","GE_0175","Lhermitte-Duclosdisease"
"Dia2_0038","GE_0176","Lipodystrophy,familialpartial,type2"
"Dia2_0039","GE_0177","Combinedhyperlipidemia,familial"
"Dia2_0040","GE_0178","Maturity-onsetdiabetesoftheyoung6"
"Dia2_0041","GE_0179","MODY,typeIV"
"Dia2_0042","GE_0180","Musculardystrophy,limb-girdle,autosomalrecessive4"
"Dia2_0043","GE_0181","Mulibreynanism"
"Dia2_0044","GE_0182","Gallbladderdisease1"
"Dia2_0045","GE_0183","Glycerolkinasedeficiency"
"Dia2_0046","GE_0184","MODY,typeII"
"Dia2_0047","GE_0185","MODY,typeI"
"Dia2_0048","GE_0186","Cohensyndrome"
"Dia2_0049","GE_0187","Calcificationofjointsandarteries"
"Dia2_0050","GE_0188","{Alcoholdependence,susceptibilityto}"
"Dia2_0051","GE_0189","?Phosphoenolpyruvatecarboxykinasedeficiency,cytosolic"
"Dia2_0052","GE_0190","Beck-Fahrnersyndrome"
"Dia2_0053","GE_0191","NULL"
"Dia2_0054","GE_0192","NULL"
"Dia2_0055","GE_0193","Renalglucosuria"
"Dia2_0056","GE_0194","Obesity,adrenalinsufficiency,andredhairduetoPOMCdeficiency"
"Dia2_0057","GE_0195","PlateletglycoproteinIVdeficiency"
"Dia2_0058","GE_0196","Arterialtortuositysyndrome"
"Dia2_0059","GE_0197","Cardiomyopathy,dilated,1A"
"Dia2_0060","GE_0198","NULL"
"Dia2_0061","GE_0199","NULL"
"Dia2_0062","GE_0200","NULL"
"Dia2_0063","GE_0201","NULL"
"Dia2_0064","GE_0202","NULL"
"Dia2_0065","GE_0203","{Coronaryarterydisease,susceptibilityto}"
"Dia2_0066","GE_0204","NULL"
"Dia2_0067","GE_0205","{Obesity,severe,andtypeIIdiabetes}"
"Dia2_0068","GE_0206","{Diabetesmellitus,insulin-dependent,22}"
"Dia2_0069","GE_0207","NULL"
"Dia2_0070","GE_0208","NULL"
"Dia2_0071","GE_0209","Diabetesmellitus,noninsulin-dependent"
"Dia2_0072","GE_0210","HDLdeficiency,familial,1"
"Dia2_0073","GE_0211","Hemeoxygenase-1deficiency"
"Dia2_0074","GE_0212","NULL"
"Dia2_0075","GE_0213","NULL"
"Dia2_0076","GE_0214","Immunedysregulationwithautoimmunity,immunodeficiency,andlymphoproliferation"
"Dia2_0077","GE_0215","{Obesity,susceptibilityto}"
"Dia2_0078","GE_0216","NULL"
"Dia2_0079","GE_0217","{Neuroblastoma,susceptibilityto,3}"
"Dia2_0080","GE_0218","NULL"
"Dia2_0081","GE_0219","Polycysticovarysyndrome1"
"Dia2_0082","GE_0220","NULL"
"Dia2_0083","GE_0221","Keratoderma-ichthyosis-deafnesssyndrome,autosomalrecessive"
"Dia2_0084","GE_0222","?Trichothiodystrophy9,nonphotosensitive"
"Dia2_0085","GE_0223","{Obesity,resistanceto(BMIQ20)}"
"Dia2_0086","GE_0224","Neuropathy,hereditarysensoryandautonomic,typeVI"
"Dia2_0087","GE_0225","?Narcolepsy7"
"Dia2_0088","GE_0226","[HighdensitylipoproteincholesterollevelQTL12]"
"Dia2_0089","GE_0227","{Microvascularcomplicationsofdiabetes2}"
"Dia2_0090","GE_0228","{Coronaryheartdisease,susceptibilityto,7}"
"Dia2_0091","GE_0229","Insulin-likegrowthfactorI,resistanceto"
"Dia2_0092","GE_0230","Lipasedeficiency,combined"
"Dia2_0093","GE_0231","Diabetesmellitus,insulin-dependent,2"
"Dia2_0094","GE_0232","Arterialtortuositysyndrome"
"Dia2_0095","GE_0233","NULL"
"Dia2_0096","GE_0234","Growthretardation,developmentaldelay,facialdysmorphism"
"Dia2_0097","GE_0235","{Obesity,severe,susceptibilityto,BMIQ9}"
"Dia2_0098","GE_0236","[LPAdeficiency,congenital]"
"Dia2_0099","GE_0237","Lipodystrophy,familialpartial,type6"
"Dia2_0101","GE_0239","Adiponectindeficiency"
"Dia2_0102","GE_0240","[HighdensitylipoproteincholesterollevelQTL6]"
"Dia2_0103","GE_0241","[FastingplasmaglucoselevelQTL5]"
"Dia2_0104","GE_0242","Opsismodysplasia"
"Dia2_0105","GE_0243","Cortisonereductasedeficiency2"
"Dia2_0106","GE_0244","{Obesity,susceptibilityto,BMIQ19}"
"Dia2_0107","GE_0245","NULL"
"Dia2_0108","GE_0246","Rhabdomyosarcoma,alveolar"
"Dia2_0109","GE_0247","NULL"
"Dia2_0110","GE_0248","NULL"
"Dia2_0111","GE_0249","{Microvascularcomplicationsofdiabetes1}"
"Dia2_0112","GE_0250","{HIV-1disease,delayedprogressionof}"
"Dia2_0113","GE_0251","[Bloodgroup,ABOsystem]"
"Dia2_0114","GE_0252","[FastingplasmaglucoselevelQTL1]"
"Dia2_0115","GE_0253","{Aneurysm,intracranialberry,6}"
"Dia2_0116","GE_0254","{Aneurysm,familialabdominal3}"
"Dia2_0117","GE_0255","[Fastinginsulinlevelquantitativetraitlocus1]"
"Dia2_0118","GE_0256","{Diabetesmellitus,insulin-dependent-1}"
"Dia2_0119","GE_0257","BDVsyndrome"
"Dia2_0120","GE_0258","{Obesity,susceptibilityto,BMIQ19}"
"Dia2_0121","GE_0259","Maturity-onsetdiabetesoftheyoung,type13"
"Dia2_0122","GE_0260","Lipodystrophy,familialpartial,type6"
"Dia2_0123","GE_0261","Hyperphenylalaninemia,BH4-deficient,D"
"Dia2_0124","GE_0262","Hemochromatosis"
"Dia2_0125","GE_0263","Alstromsyndrome"
"Dia2_0126","GE_0264","MODY,typeIII"
"Dia2_0127","GE_0265","NULL"
