"MetabolismID","MetabolismName","ChemicalFormula","State","Reference","Details"
"COL_HMDB0000271","Sarcosine","C3H7NO2","['Solid']","PubMed:6207480 ,PubMed:2420598 ,PubMed:9323574 ,PubMed:23430553 ,PubMed:20156336 ,PubMed:25037050 ,PubMed:22124703 ,PubMed:23857558 ,PubMed:23857558 ,PubMed:23857558 ,PubMed:22824219 ,PubMed:10102904 ","https://hmdb.ca/metabolites/HMDB0000271"
"COL_HMDB0000335","16a-Hydroxyestrone","C18H22O3","['Solid']","PubMed:14569192 ","https://hmdb.ca/metabolites/HMDB0000335"
"COL_HMDB0000343","2-Hydroxyestrone","C18H22O3","['Solid']","PubMed:663967 ","https://hmdb.ca/metabolites/HMDB0000343"
"COL_HMDB0000381","Allolithocholic acid","C24H40O3","['Solid']","PubMed:11945837 ","https://hmdb.ca/metabolites/HMDB0000381"
"COL_HMDB0000425","3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid","C9H16O9","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0000425"
"COL_HMDB0000493","5alpha-Androstane-3beta,17beta-diol","C19H32O2","['Solid']","PubMed:22944140 ","https://hmdb.ca/metabolites/HMDB0000493"
"COL_HMDB0000510","Aminoadipic acid","C6H11NO4","['Solid']","PubMed:8764822 ,PubMed:6796766 ,PubMed:6774165 ,PubMed:10503694 ,PubMed:27609529 ,PubMed:27609529 ,PubMed:28923537 ,PubMed:27015276 ,PubMed:25037050 ,PubMed:22024767 ,PubMed:8487492 ","https://hmdb.ca/metabolites/HMDB0000510"
"COL_HMDB0000599","Chromium","Cr","['Solid']","PubMed:17161231 ,PubMed:16244395 ,PubMed:16244392 ","https://hmdb.ca/metabolites/HMDB0000599"
"COL_HMDB0000606","D-2-Hydroxyglutaric acid","C5H8O5","['Solid']","PubMed:8134166 ,PubMed:6774165 ,PubMed:8981317 ,PubMed:22391998 ,PubMed:10963100 ,PubMed:10883451 ","https://hmdb.ca/metabolites/HMDB0000606"
"COL_HMDB0000608","Cobalt","Co","['Solid']","PubMed:16244393 ,PubMed:16244395 ,PubMed:16244392 ","https://hmdb.ca/metabolites/HMDB0000608"
"COL_HMDB0000626","Deoxycholic acid","C24H40O4","['Solid']","PubMed:15185309 ,PubMed:21761941 ,PubMed:21761941 ,PubMed:27275383 ,PubMed:27015276 ,PubMed:25037050 ,PubMed:2621422 ","https://hmdb.ca/metabolites/HMDB0000626"
"COL_HMDB0000635","Succinylacetone","C7H10O4","['Solid']","PubMed:16414314 ,PubMed:22455637 ","https://hmdb.ca/metabolites/HMDB0000635"
"COL_HMDB0000663","Glucaric acid","C6H10O8","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0000663"
"COL_HMDB0000694","L-2-Hydroxyglutaric acid","C5H8O5","['Solid']","PubMed:8134166 ,PubMed:15824270 ,PubMed:7609436 ,PubMed:22391998 ,PubMed:7609436 ,PubMed:10963100 ,PubMed:11999977 ","https://hmdb.ca/metabolites/HMDB0000694"
"COL_HMDB0000704","Isoxanthopterin","C6H5N5O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0000704"
"COL_HMDB0000753","3-Hexanone","C6H12O","['Liquid']","PubMed:21970810 ,PubMed:23454028 ,PubMed:24130822 ,PubMed:24130822 ,PubMed:22284503 ","https://hmdb.ca/metabolites/HMDB0000753"
"COL_HMDB0000761","Lithocholic acid","C24H40O3","['Solid']","PubMed:15185309 ,PubMed:16553252 ,PubMed:27015276 ,PubMed:27275383 ,PubMed:25037050 ,PubMed:2621422 ","https://hmdb.ca/metabolites/HMDB0000761"
"COL_HMDB0000782","Octadecanedioic acid","C18H34O4","['Solid']","PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0000782"
"COL_HMDB0000788","Orotidine","C10H12N2O8","['Solid']","PubMed:12675874 ,PubMed:25757096 ","https://hmdb.ca/metabolites/HMDB0000788"
"COL_HMDB0000797","SAICAR","C13H19N4O12P","['Solid']","PubMed:15571235 ,PubMed:10102915 ,PubMed:15114530 ,PubMed:24182348 ","https://hmdb.ca/metabolites/HMDB0000797"
"COL_HMDB0000807","3-Phosphoglyceric acid","C3H7O7P","['Solid']","PubMed:23857558 ,PubMed:23857558 ,PubMed:23857558 ","https://hmdb.ca/metabolites/HMDB0000807"
"COL_HMDB0000828","Ureidosuccinic acid","C5H8N2O5","['Solid']","PubMed:19212411 ","https://hmdb.ca/metabolites/HMDB0000828"
"COL_HMDB0000830","Neuraminic acid","C9H17NO8","['Solid']","PubMed:6694015 ","https://hmdb.ca/metabolites/HMDB0000830"
"COL_HMDB0000845","Neopterin","C9H11N5O4","['Solid']","PubMed:1565552 ,PubMed:22626821 ,PubMed:7707089 ,PubMed:8583213 ,PubMed:8583213 ,PubMed:8583213 ,PubMed:18502672 ,PubMed:7669428 ,PubMed:19304569 ,PubMed:27609529 ,PubMed:27609529 ,PubMed:3200274 ","https://hmdb.ca/metabolites/HMDB0000845"
"COL_HMDB0000852","beta-Sitosterol","C29H50O","['Solid']","PubMed:15896428 ,PubMed:27015276 ,PubMed:27275383 ,PubMed:25037050 ,PubMed:17613052 ","https://hmdb.ca/metabolites/HMDB0000852"
"COL_HMDB0000855","Nicotinamide riboside","C11H15N2O5","['Solid']","PubMed:21389975 ","https://hmdb.ca/metabolites/HMDB0000855"
"COL_HMDB0000884","Ribothymidine","C10H14N2O6","['Solid']","PubMed:27275383 ,PubMed:25037050 ,PubMed:15607313 ","https://hmdb.ca/metabolites/HMDB0000884"
"COL_HMDB0000937","Stigmasterol","C29H48O","['Solid']","PubMed:7595097 ,PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0000937"
"COL_HMDB0001064","Linoleoyl-CoA","C39H66N7O17P3S","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001064"
"COL_HMDB0001072","Coenzyme Q10","C59H90O4","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001072"
"COL_HMDB0001081","(N-acetylneuraminosyl(a2-6)lactosamine)","C25H42N2O19","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001081"
"COL_HMDB0001107","7-Methylguanosine","C11H16N5O5","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001107"
"COL_HMDB0001151","Allose","C6H12O6","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001151"
"COL_HMDB0001182","6,8-Dihydroxypurine","C5H4N4O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001182"
"COL_HMDB0001193","5(S)-Hydroperoxyeicosatetraenoic acid","C20H32O4","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001193"
"COL_HMDB0001276","N1-Acetylspermidine","C9H21N3O","['Solid']","PubMed:17668437 ,PubMed:2315288 ,PubMed:9464484 ","https://hmdb.ca/metabolites/HMDB0001276"
"COL_HMDB0001285","Geranyl-PP","C10H20O7P2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001285"
"COL_HMDB0001336","3,4-Dihydroxybenzeneacetic acid","C8H8O4","['Solid']","PubMed:17134724 ,PubMed:9849813 ,PubMed:10494443 ,PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0001336"
"COL_HMDB0001349","Selenium","Se","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001349"
"COL_HMDB0001354","5,10-Methenyltetrahydrofolic acid","C20H21N7O6","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001354"
"COL_HMDB0001375","3-Hydroxy-3-methylglutaryl-CoA","C27H44N7O20P3S","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001375"
"COL_HMDB0001389","Melatonin","C13H16N2O2","['Solid']","PubMed:12675874 ","https://hmdb.ca/metabolites/HMDB0001389"
"COL_HMDB0001406","Niacinamide","C6H6N2O","['Solid']","PubMed:22626821 ,PubMed:27609529 ,PubMed:27609529 ,PubMed:27622378 ,PubMed:27015276 ,PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0001406"
"COL_HMDB0001786","Ethenodeoxyadenosine","C12H13N5O3","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001786"
"COL_HMDB0001833","Aminopterin","C19H20N8O5","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001833"
"COL_HMDB0001846","Tetrahydrofolic acid","C19H23N7O6","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001846"
"COL_HMDB0001879","Aspirin","C9H8O4","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001879"
"COL_HMDB0001934","Nicotine","C10H14N2","['Liquid']","PubMed:8294547 ,PubMed:12194923 ","https://hmdb.ca/metabolites/HMDB0001934"
"COL_HMDB0001976","Docosapentaenoic acid (22n-6)","C22H34O2","['Solid']","PubMed:27329611 ,PubMed:27015276 ,PubMed:25037050 ,PubMed:14643447 ","https://hmdb.ca/metabolites/HMDB0001976"
"COL_HMDB0001984","Finasteride","C23H36N2O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0001984"
"COL_HMDB0002000","Myristoleic acid","C14H26O2","['Liquid']","PubMed:27015276 ,PubMed:27275383 ,PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0002000"
"COL_HMDB0002012","Ubiquinone-1","C14H18O4","['Solid']","PubMed:10609336 ","https://hmdb.ca/metabolites/HMDB0002012"
"COL_HMDB0002020","3'-Hydroxy-e,e-caroten-3-one","C40H54O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002020"
"COL_HMDB0002100","Palmitoylethanolamide","C18H37NO2","['Solid']","PubMed:27275383 ,PubMed:27015276 ,PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0002100"
"COL_HMDB0002121","Carnosol","C20H26O4","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002121"
"COL_HMDB0002124","Apigenin","C15H10O5","['Solid']","PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0002124"
"COL_HMDB0002168","Superoxide","O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002168"
"COL_HMDB0002172","N1,N12-Diacetylspermine","C14H30N4O2","['Solid']","PubMed:9464484 ","https://hmdb.ca/metabolites/HMDB0002172"
"COL_HMDB0002181","Phytoene","C40H64","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002181"
"COL_HMDB0002193","E,e-Carotene-3,3'-dione","C40H52O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002193"
"COL_HMDB0002198","(3R,3'R,6'R,9-cis)-beta,epsilon-Carotene-3,3'-diol","C40H56O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002198"
"COL_HMDB0002219","Glycitin","C22H22O10","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002219"
"COL_HMDB0002224","5-Methyldeoxycytidine","C10H15N3O4","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002224"
"COL_HMDB0002227","Capsaicin","C18H27NO3","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002227"
"COL_HMDB0002269","Curcumin","C21H20O6","['Solid']","PubMed:27275383 ","https://hmdb.ca/metabolites/HMDB0002269"
"COL_HMDB0002272","all-trans-Phytofluene","C40H62","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002272"
"COL_HMDB0002290","Arsenic","As","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002290"
"COL_HMDB0002294","Resolvin D2","C22H32O5","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002294"
"COL_HMDB0002297","5-cis-Lycopene","C40H56","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002297"
"COL_HMDB0002308","Hydroxocobalamin","C62H89CoN13O15P","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002308"
"COL_HMDB0002336","Biflorin","C16H18O9","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002336"
"COL_HMDB0002358","Carnosic acid","C20H28O4","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002358"
"COL_HMDB0002374","Isofucosterol","C29H48O","['Solid']","PubMed:7595097 ","https://hmdb.ca/metabolites/HMDB0002374"
"COL_HMDB0002395","Ursolic acid","C30H48O3","['Solid']","PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0002395"
"COL_HMDB0002501","Germanium","Ge","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002501"
"COL_HMDB0002655","Isorhamnetin","C16H12O7","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002655"
"COL_HMDB0002656","Prostaglandin A1","C20H32O4","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002656"
"COL_HMDB0002746","cis-5,6-Dihydro-5,6-dihydroxy-carotene","C40H58O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002746"
"COL_HMDB0002825","Theobromine","C7H8N4O2","['Solid']","PubMed:10877011 ,PubMed:17684518 ,PubMed:27275383 ,PubMed:25037050 ,PubMed:15537072 ,PubMed:21389975 ","https://hmdb.ca/metabolites/HMDB0002825"
"COL_HMDB0002869","Campesterol","C28H48O","['Solid']","PubMed:7595097 ,PubMed:27275383 ,PubMed:27015276 ,PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0002869"
"COL_HMDB0002886","6-Keto-prostaglandin F1a","C20H34O6","['Solid']","PubMed:7634804 ,PubMed:2835791 ,PubMed:2835791 ,PubMed:2835791 ,PubMed:6589104 ","https://hmdb.ca/metabolites/HMDB0002886"
"COL_HMDB0002890","3-cis-Hydroxy-b,e-Caroten-3'-one","C40H54O","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002890"
"COL_HMDB0002899","Ellagic acid","C14H6O8","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0002899"
"COL_HMDB0002902","delta-Tocopherol","C27H46O2","['Solid']","PubMed:27275383 ","https://hmdb.ca/metabolites/HMDB0002902"
"COL_HMDB0003071","5,6-Dihydro-5,6-dihydroxy-y,y-carotene","C40H60O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003071"
"COL_HMDB0003080","Leukotriene D4","C25H40N2O6S","['Solid']","PubMed:9820300 ","https://hmdb.ca/metabolites/HMDB0003080"
"COL_HMDB0003112","(3R,3'R,13-cis)-beta,beta-Carotene-3,3'-diol","C40H56O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003112"
"COL_HMDB0003125","Hydrogen peroxide","H2O2","['Liquid']","PubMed:7767505 ","https://hmdb.ca/metabolites/HMDB0003125"
"COL_HMDB0003146","(3R,3'R,9-cis)-beta,beta-Carotene-3,3'-diol","C40H56O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003146"
"COL_HMDB0003164","Chlorogenic acid","C16H18O9","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003164"
"COL_HMDB0003240","(3R,3'R,15-cis)-beta,beta-Carotene-3,3'-diol","C40H56O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003240"
"COL_HMDB0003263","Pelargonidin","C15H11O5","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003263"
"COL_HMDB0003282","1-Methylguanine","C6H7N5O","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003282"
"COL_HMDB0003306","Phloretin","C15H14O5","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003306"
"COL_HMDB0003333","8-Hydroxy-deoxyguanosine","C10H13N5O5","['Solid']","PubMed:17699218 ,PubMed:22626821 ,PubMed:18029489 ,PubMed:19010317 ","https://hmdb.ca/metabolites/HMDB0003333"
"COL_HMDB0003409","Berberine","C20H18NO4","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003409"
"COL_HMDB0003415","(3R,3'S,6'R)-b,e-Carotene-3,3'-diol","C40H56O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003415"
"COL_HMDB0003448","3-Hydroxy-b,e-caroten-3'-one","C40H54O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003448"
"COL_HMDB0003501","cis-Caffeic acid","C9H8O4","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003501"
"COL_HMDB0003634","Perillyl alcohol","C10H16O","['Solid']","PubMed:10379660 ","https://hmdb.ca/metabolites/HMDB0003634"
"COL_HMDB0003689","Neuroprotectin D1","C22H32O4","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003689"
"COL_HMDB0003733","Resolvin D1","C22H32O5","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003733"
"COL_HMDB0003747","Resveratrol","C14H12O3","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003747"
"COL_HMDB0003840","Phosphoroselenoic acid","H3O3PSe","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003840"
"COL_HMDB0003950","7-Methylinosine","C11H15N4O5","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0003950"
"COL_HMDB0004038","Resolvin D5","C22H32O4","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004038"
"COL_HMDB0004044","N6-Methyladenosine","C11H15N5O4","['Solid']","PubMed:12675874 ","https://hmdb.ca/metabolites/HMDB0004044"
"COL_HMDB0004080","Anandamide","C22H37NO2","['Solid']","PubMed:19817812 ","https://hmdb.ca/metabolites/HMDB0004080"
"COL_HMDB0004096","5-Methoxyindoleacetate","C11H11NO3","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004096"
"COL_HMDB0004118","Antimony","Sb","['Solid']","PubMed:16244395 ","https://hmdb.ca/metabolites/HMDB0004118"
"COL_HMDB0004122","Selenocystine","C6H12N2O4Se2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004122"
"COL_HMDB0004149","Palmitelaidoyl-CoA","C37H64N7O17P3S","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004149"
"COL_HMDB0004215","3,3',4'5-Tetrahydroxystilbene","C14H12O4","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004215"
"COL_HMDB0004296","Acrylamide","C3H5NO","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004296"
"COL_HMDB0004321","(-)-Limonene","C10H16","['Liquid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004321"
"COL_HMDB0004487","(S)-Carvone","C10H14O","['Liquid']","PubMed:22284503 ","https://hmdb.ca/metabolites/HMDB0004487"
"COL_HMDB0004610","Phytosphingosine","C18H39NO3","['Solid']","PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0004610"
"COL_HMDB0004627","Calusterone","C21H32O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004627"
"COL_HMDB0004628","Lead","Pb","['Solid']","PubMed:16244393 ,PubMed:16244395 ,PubMed:16244392 ","https://hmdb.ca/metabolites/HMDB0004628"
"COL_HMDB0004634","4-Chloromethandienone","C20H27ClO2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004634"
"COL_HMDB0004667","13-HODE","C18H32O3","['Solid']","PubMed:18215696 ,PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0004667"
"COL_HMDB0004814","4-Heptanone","C7H14O","['Liquid']","PubMed:914932 ,PubMed:21970810 ,PubMed:23454028 ,PubMed:24130822 ,PubMed:24130822 ,PubMed:10431355 ,PubMed:22284503 ","https://hmdb.ca/metabolites/HMDB0004814"
"COL_HMDB0004824","N2,N2-Dimethylguanosine","C12H17N5O5","['Solid']","PubMed:9607216 ,PubMed:12675874 ","https://hmdb.ca/metabolites/HMDB0004824"
"COL_HMDB0004866","LacCer(d18:1/12:0)","C42H79NO13","['Solid']","PubMed:178813 ,PubMed:178813 ","https://hmdb.ca/metabolites/HMDB0004866"
"COL_HMDB0004872","LacCer(d18:1/24:1(15Z))","C54H101NO13","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004872"
"COL_HMDB0004873","LacCer(d18:1/26:1(17Z))","C56H105NO13","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004873"
"COL_HMDB0004874","LacCer(d18:1/26:0)","C56H107NO13","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004874"
"COL_HMDB0004876","LacCer(d18:1/25:0)","C55H105NO13","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004876"
"COL_HMDB0004877","Trihexosylceramide (d18:1/12:0)","C48H89NO18","['Solid']","PubMed:178813 ,PubMed:178813 ","https://hmdb.ca/metabolites/HMDB0004877"
"COL_HMDB0004878","Trihexosylceramide (d18:1/9Z-18:1)","C54H99NO18","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004878"
"COL_HMDB0004879","Trihexosylceramide (d18:1/16:0)","C52H97NO18","['Solid']","PubMed:11158156 ","https://hmdb.ca/metabolites/HMDB0004879"
"COL_HMDB0004880","Trihexosylceramide (d18:1/18:0)","C54H101NO18","['Solid']","PubMed:178813 ,PubMed:178813 ","https://hmdb.ca/metabolites/HMDB0004880"
"COL_HMDB0004881","Trihexosylceramide (d18:1/20:0)","C56H105NO18","['Solid']","PubMed:11158156 ","https://hmdb.ca/metabolites/HMDB0004881"
"COL_HMDB0004882","Trihexosylceramide (d18:1/22:0)","C58H109NO18","['Solid']","PubMed:178813 ,PubMed:178813 ","https://hmdb.ca/metabolites/HMDB0004882"
"COL_HMDB0004883","Trihexosylceramide (d18:1/24:1(15Z))","C60H111NO18","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004883"
"COL_HMDB0004884","Trihexosylceramide (d18:1/26:1(17Z))","C62H117NO18","['Solid']","PubMed:178813 ,PubMed:178813 ","https://hmdb.ca/metabolites/HMDB0004884"
"COL_HMDB0004886","Trihexosylceramide (d18:1/24:0)","C60H113NO18","['Solid']","PubMed:178813 ,PubMed:178813 ","https://hmdb.ca/metabolites/HMDB0004886"
"COL_HMDB0004887","Trihexosylceramide (d18:1/25:0)","C61H115NO18","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0004887"
"COL_HMDB0005047","(9E,11E)-Octadecadienoic acid","C18H32O2","['Liquid']","PubMed:4075442 ,PubMed:2882386 ","https://hmdb.ca/metabolites/HMDB0005047"
"COL_HMDB0005785","Indole-3-carbinol","C9H9NO","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0005785"
"COL_HMDB0005792","Sulforaphane","C6H11NOS2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0005792"
"COL_HMDB0005794","Quercetin","C15H10O7","['Solid']","PubMed:10694785 ","https://hmdb.ca/metabolites/HMDB0005794"
"COL_HMDB0005800","Luteolin","C15H10O6","['Solid']","PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0005800"
"COL_HMDB0005809","Eugenol","C10H12O2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0005809"
"COL_HMDB0005862","2-Methylguanosine","C11H15N5O5","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0005862"
"COL_HMDB0005895","4-Hydroxyestrone","C18H22O3","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0005895"
"COL_HMDB0005897","Dihydrogenistein","C15H12O5","['Solid']","PubMed:17413104 ","https://hmdb.ca/metabolites/HMDB0005897"
"COL_HMDB0005923","N4-Acetylcytidine","C11H15N3O6","['Solid']","PubMed:12675874 ","https://hmdb.ca/metabolites/HMDB0005923"
"COL_HMDB0006005","Indolylacryloylglycine","C13H12N2O3","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0006005"
"COL_HMDB0006038","3'-O-Methylguanosine","C11H15N5O5","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0006038"
"COL_HMDB0006046","5a-Androst-3-en-17-one","C19H28O","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0006046"
"COL_HMDB0006101","Enterolactone","C18H18O4","['Solid']","PubMed:27275383 ,PubMed:27015276 ,PubMed:25037050 ,PubMed:17403619 ","https://hmdb.ca/metabolites/HMDB0006101"
"COL_HMDB0006218","9-cis-Retinal","C20H28O","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0006218"
"COL_HMDB0006270","Linoelaidic acid","C18H32O2","['Solid']","PubMed:25961003 ","https://hmdb.ca/metabolites/HMDB0006270"
"COL_HMDB0006280","7-a,25-Dihydroxycholesterol","C27H46O3","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0006280"
"COL_HMDB0006478","Isovaleraldehyde","C5H10O","['Liquid']","PubMed:7320160 ,PubMed:4038637 ,PubMed:17314143 ,PubMed:24811995 ,PubMed:23454028 ,PubMed:21970810 ,PubMed:24811995 ,PubMed:30986230 ,PubMed:22284503 ","https://hmdb.ca/metabolites/HMDB0006478"
"COL_HMDB0006485","10-Formyldihydrofolate","C20H21N7O7","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0006485"
"COL_HMDB0006524","3-Indoleacetonitrile","C10H8N2","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0006524"
"COL_HMDB0006532","Palmitoleyl-CoA","C37H64N7O17P3S","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0006532"
"COL_HMDB0006563","Hexaglutamyl folate","C44H54N12O21","['Solid']","NOT Available","https://hmdb.ca/metabolites/HMDB0006563"
